mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,spectral_contrast,zero_crossing_rate,rms_energy,label
-224.31476,39.644276,-60.546955,-9.494424,-20.665588,8.266274,-2.8806384,4.1179624,-9.753964,0.18139118,-2.2629688,1.9145788,-6.662319,3232.375516667539,2372.8987061693906,5931.201171875,0.10715414,17.804623432795726,0.20421006944444445,0.034491204,Clap
-187.54576,26.37288,-47.871902,-21.942995,-29.088465,-6.318649,-11.070132,-2.3162625,-7.460997,3.062976,-4.8597174,-0.058736283,-9.112977,3705.5923245912377,2741.559178018199,7173.248291015625,0.17509146,16.71831550557075,0.21549479166666666,0.04485987,Clap
-199.11418,11.357175,-58.662647,-16.45294,-19.893885,0.23502374,-10.920799,-0.20625229,-2.8885925,-4.7601943,-1.8132359,-0.80299884,-9.494769,3858.3130278920626,2664.727403630976,7126.41357421875,0.18505752,16.937369369367048,0.230419921875,0.04656536,Clap
-204.75005,31.892508,-66.043236,-16.516191,-18.079353,5.607731,-9.53688,2.8595197,-3.7614682,-5.7510395,-4.588866,6.0521774,-6.2330728,3329.7659756206826,2415.7932522452234,5999.688720703125,0.11300338,16.821879212418725,0.19925944010416666,0.044107154,Clap
-208.86745,28.03656,-61.91454,-11.503538,-14.047723,8.419769,-17.309431,-0.96848005,-3.9858315,-1.7743815,-3.351129,3.8198214,-4.289345,3426.391820447286,2430.0025366486825,6181.986860795455,0.12775813,16.739537972766264,0.17973188920454544,0.03806312,Clap
-225.05193,21.849031,-71.1846,-9.419269,-12.840748,12.853676,-13.311431,-1.4972196,-7.2723484,2.3847055,-7.0372047,6.02141,-3.9452918,3424.3632905403697,2350.2082880293306,6120.81298828125,0.116803505,17.768630211810844,0.20943196614583334,0.03522382,Clap
-191.23975,36.958286,-61.898277,-15.625005,-11.417407,1.8660845,-12.84467,4.6067133,-6.5795164,-0.20517536,-5.7623606,9.793097,-7.039018,3336.8312081433114,2487.0896403151046,6360.908203125,0.12617788,16.685450289005853,0.18466796875,0.040690273,Clap
-198.16457,2.7059991,-73.00186,-11.723918,-13.122371,-2.6924794,-6.5884504,0.5520579,-11.591555,2.180142,-4.642152,9.301733,-4.545934,3752.6032517474355,2495.147653866714,6785.443584735577,0.15806746,17.464990817392053,0.2451171875,0.041293543,Clap
-161.25618,16.222702,-55.326557,-3.6452966,-20.65921,2.4772475,-11.402248,-0.22038224,-7.7145123,-0.029915443,-5.6692424,3.5659027,-0.25566873,3775.9435232685346,2511.1400965397434,6725.8131760817305,0.17413299,16.804698077372215,0.22611177884615385,0.05167405,Clap
-164.28806,18.855038,-52.54799,-6.4237566,-22.19359,-1.5155888,-5.3609085,-1.7370665,-10.506821,6.1248016,-3.4533653,1.3377297,1.5439306,3784.5395503240456,2598.522162913436,6944.4580078125,0.17565727,16.629176208132616,0.22547325721153846,0.04769552,Clap
-171.57388,12.351512,-45.609867,9.716635,-13.669791,2.9483652,-10.836928,6.420487,-4.239967,7.3462687,0.22039029,6.3126583,-1.1700851,3908.674816816436,2528.3703435615234,6956.881009615385,0.18518402,17.145975525767007,0.23700420673076922,0.042952225,Clap
-205.93155,33.26796,-31.132435,6.7885785,-9.351648,4.6264987,-6.637659,6.792364,-7.241965,-0.9162611,-3.672933,4.64603,-5.512654,3688.150000827247,2686.567243699268,6895.518909801136,0.18373775,16.18175983026409,0.21160333806818182,0.040774472,Clap
-132.998,14.247315,-58.682453,-5.196647,-14.767247,3.787362,-10.5707,1.3936205,-8.13042,3.7789872,-1.1855091,4.9080033,-1.6352539,3742.885689668665,2537.1974373537814,6803.594970703125,0.16412087,17.359711649029855,0.21435546875,0.0700597,Clap
-173.73225,32.61157,-31.322752,6.2510724,-17.33744,1.2244258,-11.6965065,3.1921775,-8.835977,3.4275932,-4.3632674,1.6356378,-2.6559286,3705.6170580287753,2613.9823344140405,6816.237571022727,0.19012037,15.867004881615,0.2364169034090909,0.048138753,Clap
-118.80232,44.93813,-32.993362,-10.315028,-22.383854,-0.702827,-8.376086,6.432849,-7.3031754,3.191957,0.94491136,3.2862525,-3.8275676,3440.736816831993,2716.9746906757628,6714.052734375,0.14663163,15.477002864292334,0.201171875,0.08435186,Clap
-124.15815,17.489946,-39.758923,-2.7066586,-16.041704,3.5340421,-10.537332,1.581445,-8.610904,-2.123065,6.712563,4.7117257,-4.643558,3980.076483627019,2692.2213647757917,7219.495738636364,0.21774524,16.063875201104093,0.25816761363636365,0.0710028,Clap
-167.09723,32.173023,-46.294174,-2.573512,-5.9297166,4.7073684,-5.2344913,0.41543645,-8.488582,4.3250303,2.3086913,5.240684,-4.910229,3573.607387150379,2631.162128815938,6726.189630681818,0.15761584,16.464330531656366,0.19904119318181818,0.06192087,Clap
